participant_id;age;gender;nationality;language_experience;condition_order;session_id;marker_id;object_name;target_word;modality;phase;word_shown_at;recall_id;audio_file_path;voice_recorded_at;pronounciation_score;recall_binary
5;23;m;Egyptian;Arabic, English, French, German;tradtional-first;47;JACKET_ID_6;jacket;jachetă;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 15:59;460;voice_recordings/P005_20251212_165926_572_JACKET_ID_6_jachetă.m4a;12.12.25 15:59;100;0
5;23;m;Egyptian;Arabic, English, French, German;tradtional-first;48;CUCUMBER_ID_5;cucumber;castravete;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 15:59;470;voice_recordings/P005_20251212_165945_144_CUCUMBER_ID_5_castravete.m4a;12.12.25 15:59;100;0
5;23;m;Egyptian;Arabic, English, French, German;tradtional-first;49;SPOON_ID_4;spoon;lingură;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 15:59;480;voice_recordings/P005_20251212_170000_173_SPOON_ID_4_lingură.m4a;12.12.25 16:00;100;0
5;23;m;Egyptian;Arabic, English, French, German;tradtional-first;50;SHOES_ID_3;shoes;pantofi;AR_TEXT_AUDIO;experiment;12.12.25 16:00;490;voice_recordings/P005_20251212_170021_141_SHOES_ID_3_pantofi.m4a;12.12.25 16:00;90;1
5;23;m;Egyptian;Arabic, English, French, German;tradtional-first;51;APPLE_ID_2;apple;măr;AR_TEXT_AUDIO;experiment;12.12.25 16:00;500;voice_recordings/P005_20251212_170038_003_APPLE_ID_2_măr.m4a;12.12.25 16:00;95;1
5;23;m;Egyptian;Arabic, English, French, German;tradtional-first;52;CUP_ID_1;cup;cupă;AR_TEXT_AUDIO;experiment;12.12.25 16:00;510;voice_recordings/P005_20251212_170050_582_CUP_ID_1_cupă.m4a;12.12.25 16:00;100;0
6;23;m;Spanish;Spanish, Catalan, English, French, German;ar-first;57;SHOES_ID_3;shoes;pantofi;AR_TEXT_AUDIO;experiment;12.12.25 16:07;560;voice_recordings/P006_20251212_170723_454_SHOES_ID_3_pantofi.m4a;12.12.25 16:07;100;1
6;23;m;Spanish;Spanish, Catalan, English, French, German;ar-first;58;APPLE_ID_2;apple;măr;AR_TEXT_AUDIO;experiment;12.12.25 16:07;570;voice_recordings/P006_20251212_170736_001_APPLE_ID_2_măr.m4a;12.12.25 16:07;100;1
6;23;m;Spanish;Spanish, Catalan, English, French, German;ar-first;59;CUP_ID_1;cup;cupă;AR_TEXT_AUDIO;experiment;12.12.25 16:07;580;voice_recordings/P006_20251212_170746_686_CUP_ID_1_cupă.m4a;12.12.25 16:07;100;1
6;23;m;Spanish;Spanish, Catalan, English, French, German;ar-first;60;JACKET_ID_6;jacket;jachetă;TRADITIONAL_TEXT_AUDIO;experiment;12.12.25 16:07;590;voice_recordings/P006_20251212_170758_479_JACKET_ID_6_jachetă.m4a;12.12.25 16:07;100;1
